,Station,Arrive,Depart,Train,index
850,上野,2021-11-30 06:53:00,2021-11-30 06:53:00,06-26-熱海-普通,5.0
2531,上野,2021-11-30 06:54:00,2021-11-30 06:54:00,06-26-熱海-普通,5.5
851,東京,2021-11-30 06:59:00,2021-11-30 06:59:00,06-26-熱海-普通,6.0
2532,東京,2021-11-30 07:01:00,2021-11-30 07:01:00,06-26-熱海-普通,6.5
852,新橋,2021-11-30 07:03:00,2021-11-30 07:03:00,06-26-熱海-普通,7.0
2533,新橋,2021-11-30 07:04:00,2021-11-30 07:04:00,06-26-熱海-普通,7.5
853,品川,2021-11-30 07:09:00,2021-11-30 07:09:00,06-26-熱海-普通,8.0
2534,品川,2021-11-30 07:10:00,2021-11-30 07:10:00,06-26-熱海-普通,8.5
854,川崎,2021-11-30 07:19:00,2021-11-30 07:19:00,06-26-熱海-普通,9.0
855,横浜,2021-11-30 07:27:00,2021-11-30 07:27:00,06-26-熱海-普通,10.0
2535,横浜,2021-11-30 07:28:00,2021-11-30 07:28:00,06-26-熱海-普通,10.5
856,戸塚,2021-11-30 07:38:00,2021-11-30 07:38:00,06-26-熱海-普通,11.0
857,大船,2021-11-30 07:43:00,2021-11-30 07:43:00,06-26-熱海-普通,12.0
2536,大船,2021-11-30 07:44:00,2021-11-30 07:44:00,06-26-熱海-普通,12.5
858,藤沢,2021-11-30 07:48:00,2021-11-30 07:48:00,06-26-熱海-普通,13.0
2537,藤沢,2021-11-30 07:49:00,2021-11-30 07:49:00,06-26-熱海-普通,13.5
859,辻堂,2021-11-30 07:53:00,2021-11-30 07:53:00,06-26-熱海-普通,14.0
860,茅ケ崎,2021-11-30 07:57:00,2021-11-30 07:57:00,06-26-熱海-普通,15.0
861,平塚,2021-11-30 08:02:00,2021-11-30 08:02:00,06-26-熱海-普通,16.0
2538,平塚,2021-11-30 08:04:00,2021-11-30 08:04:00,06-26-熱海-普通,16.5
862,大磯,2021-11-30 08:08:00,2021-11-30 08:08:00,06-26-熱海-普通,17.0
863,二宮,2021-11-30 08:13:00,2021-11-30 08:13:00,06-26-熱海-普通,18.0
864,国府津,2021-11-30 08:17:00,2021-11-30 08:17:00,06-26-熱海-普通,19.0
2539,国府津,2021-11-30 08:18:00,2021-11-30 08:18:00,06-26-熱海-普通,19.5
865,鴨宮,2021-11-30 08:22:00,2021-11-30 08:22:00,06-26-熱海-普通,20.0
866,小田原,2021-11-30 08:26:00,2021-11-30 08:26:00,06-26-熱海-普通,21.0
