,Station,Arrive,Depart,Train,index,Station_sequence
1146,茅ケ崎,2021-11-30 08:14:00,2021-11-30 08:14:00,06-45-国府津-普通,15.0,茅ケ崎
1147,平塚,2021-11-30 08:20:00,2021-11-30 08:20:00,06-45-国府津-普通,16.0,平塚
2699,平塚,2021-11-30 08:23:00,2021-11-30 08:23:00,06-45-国府津-普通,16.5,平塚
1148,大磯,2021-11-30 08:27:00,2021-11-30 08:27:00,06-45-国府津-普通,17.0,大磯
1149,二宮,2021-11-30 08:31:00,2021-11-30 08:31:00,06-45-国府津-普通,18.0,二宮
2700,二宮,2021-11-30 08:32:00,2021-11-30 08:32:00,06-45-国府津-普通,18.5,二宮
1150,国府津,2021-11-30 08:36:00,,06-45-国府津-普通,19.0,国府津
790,大宮(埼玉),2021-11-30 06:49:00,2021-11-30 06:49:00,06-50-上野-普通,0.0,大宮(埼玉)
791,さいたま新都心,2021-11-30 06:52:00,2021-11-30 06:52:00,06-50-上野-普通,1.0,さいたま新都心
792,浦和,2021-11-30 06:56:00,2021-11-30 06:56:00,06-50-上野-普通,2.0,浦和
2504,浦和,2021-11-30 06:57:00,2021-11-30 06:57:00,06-50-上野-普通,2.5,浦和
793,赤羽,2021-11-30 07:05:00,2021-11-30 07:05:00,06-50-上野-普通,3.0,赤羽
2505,赤羽,2021-11-30 07:06:00,2021-11-30 07:06:00,06-50-上野-普通,3.5,赤羽
794,尾久,2021-11-30 07:10:00,2021-11-30 07:10:00,06-50-上野-普通,4.0,尾久/池袋
795,上野,2021-11-30 07:16:00,,06-50-上野-普通,5.0,上野/新宿
916,大宮(埼玉),2021-11-30 06:56:00,2021-11-30 06:56:00,06-58-小田原-普通,0.0,大宮(埼玉)
917,さいたま新都心,2021-11-30 07:01:00,2021-11-30 07:01:00,06-58-小田原-普通,1.0,さいたま新都心
918,浦和,2021-11-30 07:05:00,2021-11-30 07:05:00,06-58-小田原-普通,2.0,浦和
2565,浦和,2021-11-30 07:06:00,2021-11-30 07:06:00,06-58-小田原-普通,2.5,浦和
919,赤羽,2021-11-30 07:14:00,2021-11-30 07:14:00,06-58-小田原-普通,3.0,赤羽
2566,赤羽,2021-11-30 07:15:00,2021-11-30 07:15:00,06-58-小田原-普通,3.5,赤羽
920,尾久,2021-11-30 07:19:00,2021-11-30 07:19:00,06-58-小田原-普通,4.0,尾久/池袋
2567,尾久,2021-11-30 07:20:00,2021-11-30 07:20:00,06-58-小田原-普通,4.5,尾久/池袋
921,上野,2021-11-30 07:26:00,2021-11-30 07:26:00,06-58-小田原-普通,5.0,上野/新宿
2568,上野,2021-11-30 07:29:00,2021-11-30 07:29:00,06-58-小田原-普通,5.5,上野/新宿
922,東京,2021-11-30 07:34:00,2021-11-30 07:34:00,06-58-小田原-普通,6.0,東京/渋谷
2569,東京,2021-11-30 07:35:00,2021-11-30 07:35:00,06-58-小田原-普通,6.5,東京/渋谷
923,新橋,2021-11-30 07:37:00,2021-11-30 07:37:00,06-58-小田原-普通,7.0,新橋/恵比寿
2570,新橋,2021-11-30 07:38:00,2021-11-30 07:38:00,06-58-小田原-普通,7.5,新橋/恵比寿
924,品川,2021-11-30 07:43:00,2021-11-30 07:43:00,06-58-小田原-普通,8.0,品川/大崎
2571,品川,2021-11-30 07:44:00,2021-11-30 07:44:00,06-58-小田原-普通,8.5,品川/大崎
925,川崎,2021-11-30 07:53:00,2021-11-30 07:53:00,06-58-小田原-普通,9.0,川崎/武蔵小杉
926,横浜,2021-11-30 08:01:00,2021-11-30 08:01:00,06-58-小田原-普通,10.0,横浜
2572,横浜,2021-11-30 08:02:00,2021-11-30 08:02:00,06-58-小田原-普通,10.5,横浜
927,戸塚,2021-11-30 08:12:00,2021-11-30 08:12:00,06-58-小田原-普通,11.0,戸塚
928,大船,2021-11-30 08:17:00,2021-11-30 08:17:00,06-58-小田原-普通,12.0,大船
2573,大船,2021-11-30 08:18:00,2021-11-30 08:18:00,06-58-小田原-普通,12.5,大船
929,藤沢,2021-11-30 08:22:00,2021-11-30 08:22:00,06-58-小田原-普通,13.0,藤沢
2574,藤沢,2021-11-30 08:23:00,2021-11-30 08:23:00,06-58-小田原-普通,13.5,藤沢
930,辻堂,2021-11-30 08:26:00,2021-11-30 08:26:00,06-58-小田原-普通,14.0,辻堂
931,茅ケ崎,2021-11-30 08:30:00,2021-11-30 08:30:00,06-58-小田原-普通,15.0,茅ケ崎
932,平塚,2021-11-30 08:35:00,2021-11-30 08:35:00,06-58-小田原-普通,16.0,平塚
2575,平塚,2021-11-30 08:36:00,2021-11-30 08:36:00,06-58-小田原-普通,16.5,平塚
933,大磯,2021-11-30 08:39:00,2021-11-30 08:39:00,06-58-小田原-普通,17.0,大磯
934,二宮,2021-11-30 08:44:00,2021-11-30 08:44:00,06-58-小田原-普通,18.0,二宮
935,国府津,2021-11-30 08:48:00,2021-11-30 08:48:00,06-58-小田原-普通,19.0,国府津
2576,国府津,2021-11-30 08:49:00,2021-11-30 08:49:00,06-58-小田原-普通,19.5,国府津
936,鴨宮,2021-11-30 08:52:00,2021-11-30 08:52:00,06-58-小田原-普通,20.0,鴨宮
2577,鴨宮,2021-11-30 08:53:00,2021-11-30 08:53:00,06-58-小田原-普通,20.5,鴨宮
937,小田原,2021-11-30 08:56:00,,06-58-小田原-普通,21.0,小田原
297,大宮(埼玉),2021-11-30 07:08:00,2021-11-30 07:08:00,07-10-品川-普通,0.0,大宮(埼玉)
298,さいたま新都心,2021-11-30 07:12:00,2021-11-30 07:12:00,07-10-品川-普通,1.0,さいたま新都心
2241,さいたま新都心,2021-11-30 07:13:00,2021-11-30 07:13:00,07-10-品川-普通,1.5,さいたま新都心
299,浦和,2021-11-30 07:17:00,2021-11-30 07:17:00,07-10-品川-普通,2.0,浦和
300,赤羽,2021-11-30 07:26:00,2021-11-30 07:26:00,07-10-品川-普通,3.0,赤羽
301,尾久,2021-11-30 07:31:00,2021-11-30 07:31:00,07-10-品川-普通,4.0,尾久/池袋
2242,尾久,2021-11-30 07:32:00,2021-11-30 07:32:00,07-10-品川-普通,4.5,尾久/池袋
302,上野,2021-11-30 07:38:00,2021-11-30 07:38:00,07-10-品川-普通,5.0,上野/新宿
2243,上野,2021-11-30 07:39:00,2021-11-30 07:39:00,07-10-品川-普通,5.5,上野/新宿
303,東京,2021-11-30 07:44:00,2021-11-30 07:44:00,07-10-品川-普通,6.0,東京/渋谷
2244,東京,2021-11-30 07:45:00,2021-11-30 07:45:00,07-10-品川-普通,6.5,東京/渋谷
304,新橋,2021-11-30 07:47:00,2021-11-30 07:47:00,07-10-品川-普通,7.0,新橋/恵比寿
2245,新橋,2021-11-30 07:48:00,2021-11-30 07:48:00,07-10-品川-普通,7.5,新橋/恵比寿
305,品川,2021-11-30 07:54:00,,07-10-品川-普通,8.0,品川/大崎
780,大宮(埼玉),2021-11-30 07:14:00,2021-11-30 07:14:00,07-15-上野-普通,0.0,大宮(埼玉)
781,さいたま新都心,2021-11-30 07:17:00,2021-11-30 07:17:00,07-15-上野-普通,1.0,さいたま新都心
2501,さいたま新都心,2021-11-30 07:18:00,2021-11-30 07:18:00,07-15-上野-普通,1.5,さいたま新都心
782,浦和,2021-11-30 07:22:00,2021-11-30 07:22:00,07-15-上野-普通,2.0,浦和
783,赤羽,2021-11-30 07:31:00,2021-11-30 07:31:00,07-15-上野-普通,3.0,赤羽
784,尾久,2021-11-30 07:36:00,2021-11-30 07:36:00,07-15-上野-普通,4.0,尾久/池袋
2502,尾久,2021-11-30 07:37:00,2021-11-30 07:37:00,07-15-上野-普通,4.5,尾久/池袋
785,上野,2021-11-30 07:42:00,,07-15-上野-普通,5.0,上野/新宿
144,大宮(埼玉),2021-11-30 07:22:00,2021-11-30 07:22:00,07-23-熱海-普通,0.0,大宮(埼玉)
145,さいたま新都心,2021-11-30 07:26:00,2021-11-30 07:26:00,07-23-熱海-普通,1.0,さいたま新都心
146,浦和,2021-11-30 07:30:00,2021-11-30 07:30:00,07-23-熱海-普通,2.0,浦和
2153,浦和,2021-11-30 07:31:00,2021-11-30 07:31:00,07-23-熱海-普通,2.5,浦和
147,赤羽,2021-11-30 07:39:00,2021-11-30 07:39:00,07-23-熱海-普通,3.0,赤羽
2154,赤羽,2021-11-30 07:40:00,2021-11-30 07:40:00,07-23-熱海-普通,3.5,赤羽
148,尾久,2021-11-30 07:45:00,2021-11-30 07:45:00,07-23-熱海-普通,4.0,尾久/池袋
149,上野,2021-11-30 07:52:00,2021-11-30 07:52:00,07-23-熱海-普通,5.0,上野/新宿
2155,上野,2021-11-30 07:53:00,2021-11-30 07:53:00,07-23-熱海-普通,5.5,上野/新宿
150,東京,2021-11-30 07:58:00,2021-11-30 07:58:00,07-23-熱海-普通,6.0,東京/渋谷
2156,東京,2021-11-30 07:59:00,2021-11-30 07:59:00,07-23-熱海-普通,6.5,東京/渋谷
151,新橋,2021-11-30 08:02:00,2021-11-30 08:02:00,07-23-熱海-普通,7.0,新橋/恵比寿
152,品川,2021-11-30 08:08:00,2021-11-30 08:08:00,07-23-熱海-普通,8.0,品川/大崎
2157,品川,2021-11-30 08:09:00,2021-11-30 08:09:00,07-23-熱海-普通,8.5,品川/大崎
153,川崎,2021-11-30 08:18:00,2021-11-30 08:18:00,07-23-熱海-普通,9.0,川崎/武蔵小杉
2158,川崎,2021-11-30 08:19:00,2021-11-30 08:19:00,07-23-熱海-普通,9.5,川崎/武蔵小杉
154,横浜,2021-11-30 08:27:00,2021-11-30 08:27:00,07-23-熱海-普通,10.0,横浜
2159,横浜,2021-11-30 08:28:00,2021-11-30 08:28:00,07-23-熱海-普通,10.5,横浜
155,戸塚,2021-11-30 08:38:00,2021-11-30 08:38:00,07-23-熱海-普通,11.0,戸塚
156,大船,2021-11-30 08:43:00,2021-11-30 08:43:00,07-23-熱海-普通,12.0,大船
157,藤沢,2021-11-30 08:47:00,2021-11-30 08:47:00,07-23-熱海-普通,13.0,藤沢
2160,藤沢,2021-11-30 08:48:00,2021-11-30 08:48:00,07-23-熱海-普通,13.5,藤沢
158,辻堂,2021-11-30 08:51:00,2021-11-30 08:51:00,07-23-熱海-普通,14.0,辻堂
2161,辻堂,2021-11-30 08:52:00,2021-11-30 08:52:00,07-23-熱海-普通,14.5,辻堂
159,茅ケ崎,2021-11-30 08:55:00,2021-11-30 08:55:00,07-23-熱海-普通,15.0,茅ケ崎
160,平塚,2021-11-30 09:00:00,2021-11-30 09:00:00,07-23-熱海-普通,16.0,平塚
161,大磯,2021-11-30 09:03:00,2021-11-30 09:03:00,07-23-熱海-普通,17.0,大磯
2162,大磯,2021-11-30 09:04:00,2021-11-30 09:04:00,07-23-熱海-普通,17.5,大磯
