,Station,Arrive,Depart,Train,index,Station_sequence
1533,池袋,2021-11-30 08:05:00,2021-11-30 08:05:00,07-39-国府津-快速,3.0,尾久/池袋
2905,池袋,2021-11-30 08:06:00,2021-11-30 08:06:00,07-39-国府津-快速,3.5,尾久/池袋
1534,新宿,2021-11-30 08:11:00,2021-11-30 08:11:00,07-39-国府津-快速,4.0,上野/新宿
2906,新宿,2021-11-30 08:12:00,2021-11-30 08:12:00,07-39-国府津-快速,4.5,上野/新宿
1535,渋谷,2021-11-30 08:17:00,2021-11-30 08:17:00,07-39-国府津-快速,5.0,東京/渋谷
1536,恵比寿,2021-11-30 08:19:00,2021-11-30 08:19:00,07-39-国府津-快速,6.0,新橋/恵比寿
2907,恵比寿,2021-11-30 08:20:00,2021-11-30 08:20:00,07-39-国府津-快速,6.5,新橋/恵比寿
1537,大崎,2021-11-30 08:24:00,2021-11-30 08:24:00,07-39-国府津-快速,7.0,品川/大崎
1538,武蔵小杉,2021-11-30 08:34:00,2021-11-30 08:34:00,07-39-国府津-快速,8.0,川崎/武蔵小杉
2908,武蔵小杉,2021-11-30 08:35:00,2021-11-30 08:35:00,07-39-国府津-快速,8.5,川崎/武蔵小杉
1539,横浜,2021-11-30 08:46:00,2021-11-30 08:46:00,07-39-国府津-快速,9.0,横浜
2909,横浜,2021-11-30 08:47:00,2021-11-30 08:47:00,07-39-国府津-快速,9.5,横浜
1540,戸塚,2021-11-30 08:58:00,2021-11-30 08:58:00,07-39-国府津-快速,10.0,戸塚
2910,戸塚,2021-11-30 08:59:00,2021-11-30 08:59:00,07-39-国府津-快速,10.5,戸塚
1541,大船,2021-11-30 09:03:00,2021-11-30 09:03:00,07-39-国府津-快速,11.0,大船
2911,大船,2021-11-30 09:04:00,2021-11-30 09:04:00,07-39-国府津-快速,11.5,大船
1542,藤沢,2021-11-30 09:08:00,2021-11-30 09:08:00,07-39-国府津-快速,12.0,藤沢
1543,辻堂,2021-11-30 09:11:00,2021-11-30 09:11:00,07-39-国府津-快速,13.0,辻堂
2912,辻堂,2021-11-30 09:12:00,2021-11-30 09:12:00,07-39-国府津-快速,13.5,辻堂
1544,茅ケ崎,2021-11-30 09:15:00,2021-11-30 09:15:00,07-39-国府津-快速,14.0,茅ケ崎
1545,平塚,2021-11-30 09:19:00,2021-11-30 09:19:00,07-39-国府津-快速,15.0,平塚
