,Unnamed: 0,Station,Arrive,Depart,Train,index,Station_sequence
133,2694,品川,2021-11-30 00:42:00,2021-11-30 07:26:00,06-45-国府津-普通,8.5,品川/大崎
134,1140,川崎,2021-11-30 00:51:00,2021-11-30 07:35:00,06-45-国府津-普通,9.0,川崎/武蔵小杉
135,2695,川崎,2021-11-30 00:52:00,2021-11-30 07:36:00,06-45-国府津-普通,9.5,川崎/武蔵小杉
136,1141,横浜,2021-11-30 00:59:00,2021-11-30 07:43:00,06-45-国府津-普通,10.0,横浜
137,2696,横浜,2021-11-30 01:00:00,2021-11-30 07:44:00,06-45-国府津-普通,10.5,横浜
138,1142,戸塚,2021-11-30 01:10:00,2021-11-30 07:54:00,06-45-国府津-普通,11.0,戸塚
139,2697,戸塚,2021-11-30 01:11:00,2021-11-30 07:55:00,06-45-国府津-普通,11.5,戸塚
140,1143,大船,2021-11-30 01:16:00,2021-11-30 08:00:00,06-45-国府津-普通,12.0,大船
141,2698,大船,2021-11-30 01:17:00,2021-11-30 08:01:00,06-45-国府津-普通,12.5,大船
142,1144,藤沢,2021-11-30 01:22:00,2021-11-30 08:06:00,06-45-国府津-普通,13.0,藤沢
143,1145,辻堂,2021-11-30 01:26:00,2021-11-30 08:10:00,06-45-国府津-普通,14.0,辻堂
144,1146,茅ケ崎,2021-11-30 01:30:00,2021-11-30 08:14:00,06-45-国府津-普通,15.0,茅ケ崎
145,1147,平塚,2021-11-30 01:36:00,2021-11-30 08:20:00,06-45-国府津-普通,16.0,平塚
146,2699,平塚,2021-11-30 01:39:00,2021-11-30 08:23:00,06-45-国府津-普通,16.5,平塚
147,1148,大磯,2021-11-30 01:43:00,2021-11-30 08:27:00,06-45-国府津-普通,17.0,大磯
148,1149,二宮,2021-11-30 01:47:00,2021-11-30 08:31:00,06-45-国府津-普通,18.0,二宮
149,2700,二宮,2021-11-30 01:48:00,2021-11-30 08:32:00,06-45-国府津-普通,18.5,二宮
150,1150,国府津,2021-11-30 01:52:00,,06-45-国府津-普通,19.0,国府津
151,790,大宮(埼玉),2021-11-30 00:00:00,2021-11-30 06:49:00,06-50-上野-普通,0.0,大宮(埼玉)
