,Unnamed: 0,Station,Arrive,Depart,Train,index,Station_sequence
106,1542,藤沢,2021-11-30 01:30:00,2021-11-30 09:08:00,07-39-国府津-快速,12.0,藤沢
107,1543,辻堂,2021-11-30 01:33:00,2021-11-30 09:11:00,07-39-国府津-快速,13.0,辻堂
108,2912,辻堂,2021-11-30 01:34:00,2021-11-30 09:12:00,07-39-国府津-快速,13.5,辻堂
109,1544,茅ケ崎,2021-11-30 01:37:00,2021-11-30 09:15:00,07-39-国府津-快速,14.0,茅ケ崎
110,1545,平塚,2021-11-30 01:41:00,2021-11-30 09:19:00,07-39-国府津-快速,15.0,平塚
111,2913,平塚,2021-11-30 01:42:00,2021-11-30 09:20:00,07-39-国府津-快速,15.5,平塚
112,1546,大磯,2021-11-30 01:45:00,2021-11-30 09:23:00,07-39-国府津-快速,16.0,大磯
113,1547,二宮,2021-11-30 01:49:00,2021-11-30 09:27:00,07-39-国府津-快速,17.0,二宮
114,2914,二宮,2021-11-30 01:50:00,2021-11-30 09:28:00,07-39-国府津-快速,17.5,二宮
115,1548,国府津,2021-11-30 01:54:00,,07-39-国府津-快速,18.0,国府津
116,171,大宮(埼玉),2021-11-30 00:00:00,2021-11-30 07:50:00,07-52-平塚-快速,0.0,大宮(埼玉)
117,172,浦和,2021-11-30 00:08:00,2021-11-30 07:58:00,07-52-平塚-快速,1.0,浦和
118,2170,浦和,2021-11-30 00:09:00,2021-11-30 07:59:00,07-52-平塚-快速,1.5,浦和
119,173,赤羽,2021-11-30 00:18:00,2021-11-30 08:08:00,07-52-平塚-快速,2.0,赤羽
120,174,池袋,2021-11-30 00:29:00,2021-11-30 08:19:00,07-52-平塚-快速,3.0,尾久/池袋
121,2171,池袋,2021-11-30 00:30:00,2021-11-30 08:20:00,07-52-平塚-快速,3.5,尾久/池袋
122,175,新宿,2021-11-30 00:35:00,2021-11-30 08:25:00,07-52-平塚-快速,4.0,上野/新宿
123,2172,新宿,2021-11-30 00:36:00,2021-11-30 08:26:00,07-52-平塚-快速,4.5,上野/新宿
124,176,渋谷,2021-11-30 00:41:00,2021-11-30 08:31:00,07-52-平塚-快速,5.0,東京/渋谷
125,177,恵比寿,2021-11-30 00:43:00,2021-11-30 08:33:00,07-52-平塚-快速,6.0,新橋/恵比寿
126,2173,恵比寿,2021-11-30 00:44:00,2021-11-30 08:34:00,07-52-平塚-快速,6.5,新橋/恵比寿
127,178,大崎,2021-11-30 00:48:00,2021-11-30 08:38:00,07-52-平塚-快速,7.0,品川/大崎
128,179,武蔵小杉,2021-11-30 00:58:00,2021-11-30 08:48:00,07-52-平塚-快速,8.0,川崎/武蔵小杉
129,180,横浜,2021-11-30 01:10:00,2021-11-30 09:00:00,07-52-平塚-快速,9.0,横浜
130,2174,横浜,2021-11-30 01:11:00,2021-11-30 09:01:00,07-52-平塚-快速,9.5,横浜
131,181,戸塚,2021-11-30 01:23:00,2021-11-30 09:13:00,07-52-平塚-快速,10.0,戸塚
132,182,大船,2021-11-30 01:28:00,2021-11-30 09:18:00,07-52-平塚-快速,11.0,大船
133,2175,大船,2021-11-30 01:29:00,2021-11-30 09:19:00,07-52-平塚-快速,11.5,大船
134,183,藤沢,2021-11-30 01:33:00,2021-11-30 09:23:00,07-52-平塚-快速,12.0,藤沢
135,184,辻堂,2021-11-30 01:36:00,2021-11-30 09:26:00,07-52-平塚-快速,13.0,辻堂
136,2176,辻堂,2021-11-30 01:37:00,2021-11-30 09:27:00,07-52-平塚-快速,13.5,辻堂
137,185,茅ケ崎,2021-11-30 01:40:00,2021-11-30 09:30:00,07-52-平塚-快速,14.0,茅ケ崎
138,186,平塚,2021-11-30 01:45:00,,07-52-平塚-快速,15.0,平塚
139,1167,大宮(埼玉),2021-11-30 00:00:00,2021-11-30 08:02:00,08-05-小田原-快速,0.0,大宮(埼玉)
140,1168,浦和,2021-11-30 00:10:00,2021-11-30 08:12:00,08-05-小田原-快速,1.0,浦和
141,2710,浦和,2021-11-30 00:11:00,2021-11-30 08:13:00,08-05-小田原-快速,1.5,浦和
142,1169,赤羽,2021-11-30 00:20:00,2021-11-30 08:22:00,08-05-小田原-快速,2.0,赤羽
143,1170,池袋,2021-11-30 00:31:00,2021-11-30 08:33:00,08-05-小田原-快速,3.0,尾久/池袋
144,2711,池袋,2021-11-30 00:32:00,2021-11-30 08:34:00,08-05-小田原-快速,3.5,尾久/池袋
145,1171,新宿,2021-11-30 00:37:00,2021-11-30 08:39:00,08-05-小田原-快速,4.0,上野/新宿
146,2712,新宿,2021-11-30 00:38:00,2021-11-30 08:40:00,08-05-小田原-快速,4.5,上野/新宿
147,1172,渋谷,2021-11-30 00:43:00,2021-11-30 08:45:00,08-05-小田原-快速,5.0,東京/渋谷
148,1173,恵比寿,2021-11-30 00:45:00,2021-11-30 08:47:00,08-05-小田原-快速,6.0,新橋/恵比寿
149,2713,恵比寿,2021-11-30 00:46:00,2021-11-30 08:48:00,08-05-小田原-快速,6.5,新橋/恵比寿
150,1174,大崎,2021-11-30 00:50:00,2021-11-30 08:52:00,08-05-小田原-快速,7.0,品川/大崎
151,1175,武蔵小杉,2021-11-30 00:59:00,2021-11-30 09:01:00,08-05-小田原-快速,8.0,川崎/武蔵小杉
152,2714,武蔵小杉,2021-11-30 01:00:00,2021-11-30 09:02:00,08-05-小田原-快速,8.5,川崎/武蔵小杉
153,1176,横浜,2021-11-30 01:11:00,2021-11-30 09:13:00,08-05-小田原-快速,9.0,横浜
154,2715,横浜,2021-11-30 01:12:00,2021-11-30 09:14:00,08-05-小田原-快速,9.5,横浜
155,1177,戸塚,2021-11-30 01:23:00,2021-11-30 09:25:00,08-05-小田原-快速,10.0,戸塚
156,2716,戸塚,2021-11-30 01:24:00,2021-11-30 09:26:00,08-05-小田原-快速,10.5,戸塚
157,1178,大船,2021-11-30 01:28:00,2021-11-30 09:30:00,08-05-小田原-快速,11.0,大船
158,2717,大船,2021-11-30 01:29:00,2021-11-30 09:31:00,08-05-小田原-快速,11.5,大船
159,1179,藤沢,2021-11-30 01:33:00,2021-11-30 09:35:00,08-05-小田原-快速,12.0,藤沢
160,1180,辻堂,2021-11-30 01:36:00,2021-11-30 09:38:00,08-05-小田原-快速,13.0,辻堂
161,2718,辻堂,2021-11-30 01:37:00,2021-11-30 09:39:00,08-05-小田原-快速,13.5,辻堂
162,1181,茅ケ崎,2021-11-30 01:40:00,2021-11-30 09:42:00,08-05-小田原-快速,14.0,茅ケ崎
163,1182,平塚,2021-11-30 01:45:00,2021-11-30 09:47:00,08-05-小田原-快速,15.0,平塚
164,2719,平塚,2021-11-30 01:49:00,2021-11-30 09:51:00,08-05-小田原-快速,15.5,平塚
165,1183,大磯,2021-11-30 01:53:00,2021-11-30 09:55:00,08-05-小田原-快速,16.0,大磯
166,1184,二宮,2021-11-30 01:57:00,2021-11-30 09:59:00,08-05-小田原-快速,17.0,二宮
167,2720,二宮,2021-11-30 01:58:00,2021-11-30 10:00:00,08-05-小田原-快速,17.5,二宮
168,1185,国府津,2021-11-30 02:01:00,2021-11-30 10:03:00,08-05-小田原-快速,18.0,国府津
169,2721,国府津,2021-11-30 02:02:00,2021-11-30 10:04:00,08-05-小田原-快速,18.5,国府津
170,1186,鴨宮,2021-11-30 02:05:00,2021-11-30 10:07:00,08-05-小田原-快速,19.0,鴨宮
171,2722,鴨宮,2021-11-30 02:06:00,2021-11-30 10:08:00,08-05-小田原-快速,19.5,鴨宮
172,1187,小田原,2021-11-30 02:09:00,,08-05-小田原-快速,20.0,小田原
173,826,大宮(埼玉),2021-11-30 00:00:00,2021-11-30 08:25:00,08-26-国府津-快速,0.0,大宮(埼玉)
174,827,浦和,2021-11-30 00:09:00,2021-11-30 08:34:00,08-26-国府津-快速,1.0,浦和
175,828,赤羽,2021-11-30 00:19:00,2021-11-30 08:44:00,08-26-国府津-快速,2.0,赤羽
176,829,池袋,2021-11-30 00:30:00,2021-11-30 08:55:00,08-26-国府津-快速,3.0,尾久/池袋
177,2520,池袋,2021-11-30 00:32:00,2021-11-30 08:57:00,08-26-国府津-快速,3.5,尾久/池袋
178,830,新宿,2021-11-30 00:37:00,2021-11-30 09:02:00,08-26-国府津-快速,4.0,上野/新宿
179,2521,新宿,2021-11-30 00:38:00,2021-11-30 09:03:00,08-26-国府津-快速,4.5,上野/新宿
180,831,渋谷,2021-11-30 00:43:00,2021-11-30 09:08:00,08-26-国府津-快速,5.0,東京/渋谷
181,2522,渋谷,2021-11-30 00:44:00,2021-11-30 09:09:00,08-26-国府津-快速,5.5,東京/渋谷
182,832,恵比寿,2021-11-30 00:46:00,2021-11-30 09:11:00,08-26-国府津-快速,6.0,新橋/恵比寿
183,2523,恵比寿,2021-11-30 00:47:00,2021-11-30 09:12:00,08-26-国府津-快速,6.5,新橋/恵比寿
184,833,大崎,2021-11-30 00:50:00,2021-11-30 09:15:00,08-26-国府津-快速,7.0,品川/大崎
185,2524,大崎,2021-11-30 00:51:00,2021-11-30 09:16:00,08-26-国府津-快速,7.5,品川/大崎
186,834,武蔵小杉,2021-11-30 01:01:00,2021-11-30 09:26:00,08-26-国府津-快速,8.0,川崎/武蔵小杉
187,835,横浜,2021-11-30 01:13:00,2021-11-30 09:38:00,08-26-国府津-快速,9.0,横浜
188,836,戸塚,2021-11-30 01:24:00,2021-11-30 09:49:00,08-26-国府津-快速,10.0,戸塚
189,2525,戸塚,2021-11-30 01:25:00,2021-11-30 09:50:00,08-26-国府津-快速,10.5,戸塚
190,837,大船,2021-11-30 01:30:00,2021-11-30 09:55:00,08-26-国府津-快速,11.0,大船
191,838,藤沢,2021-11-30 01:34:00,2021-11-30 09:59:00,08-26-国府津-快速,12.0,藤沢
192,2526,藤沢,2021-11-30 01:35:00,2021-11-30 10:00:00,08-26-国府津-快速,12.5,藤沢
193,839,辻堂,2021-11-30 01:38:00,2021-11-30 10:03:00,08-26-国府津-快速,13.0,辻堂
194,840,茅ケ崎,2021-11-30 01:41:00,2021-11-30 10:06:00,08-26-国府津-快速,14.0,茅ケ崎
195,2527,茅ケ崎,2021-11-30 01:42:00,2021-11-30 10:07:00,08-26-国府津-快速,14.5,茅ケ崎
196,841,平塚,2021-11-30 01:46:00,2021-11-30 10:11:00,08-26-国府津-快速,15.0,平塚
197,842,大磯,2021-11-30 01:49:00,2021-11-30 10:14:00,08-26-国府津-快速,16.0,大磯
198,2528,大磯,2021-11-30 01:50:00,2021-11-30 10:15:00,08-26-国府津-快速,16.5,大磯
199,843,二宮,2021-11-30 01:54:00,2021-11-30 10:19:00,08-26-国府津-快速,17.0,二宮
200,844,国府津,2021-11-30 01:58:00,,08-26-国府津-快速,18.0,国府津
201,628,大宮(埼玉),2021-11-30 00:00:00,2021-11-30 08:56:00,08-57-国府津-快速,0.0,大宮(埼玉)
202,629,浦和,2021-11-30 00:07:00,2021-11-30 09:03:00,08-57-国府津-快速,1.0,浦和
203,2417,浦和,2021-11-30 00:08:00,2021-11-30 09:04:00,08-57-国府津-快速,1.5,浦和
204,630,赤羽,2021-11-30 00:17:00,2021-11-30 09:13:00,08-57-国府津-快速,2.0,赤羽
205,631,池袋,2021-11-30 00:27:00,2021-11-30 09:23:00,08-57-国府津-快速,3.0,尾久/池袋
206,2418,池袋,2021-11-30 00:28:00,2021-11-30 09:24:00,08-57-国府津-快速,3.5,尾久/池袋
207,632,新宿,2021-11-30 00:33:00,2021-11-30 09:29:00,08-57-国府津-快速,4.0,上野/新宿
208,2419,新宿,2021-11-30 00:34:00,2021-11-30 09:30:00,08-57-国府津-快速,4.5,上野/新宿
209,633,渋谷,2021-11-30 00:39:00,2021-11-30 09:35:00,08-57-国府津-快速,5.0,東京/渋谷
210,2420,渋谷,2021-11-30 00:40:00,2021-11-30 09:36:00,08-57-国府津-快速,5.5,東京/渋谷
211,634,恵比寿,2021-11-30 00:42:00,2021-11-30 09:38:00,08-57-国府津-快速,6.0,新橋/恵比寿
212,635,大崎,2021-11-30 00:46:00,2021-11-30 09:42:00,08-57-国府津-快速,7.0,品川/大崎
213,636,武蔵小杉,2021-11-30 00:58:00,2021-11-30 09:54:00,08-57-国府津-快速,8.0,川崎/武蔵小杉
214,637,横浜,2021-11-30 01:09:00,2021-11-30 10:05:00,08-57-国府津-快速,9.0,横浜
215,638,戸塚,2021-11-30 01:19:00,2021-11-30 10:15:00,08-57-国府津-快速,10.0,戸塚
216,2421,戸塚,2021-11-30 01:20:00,2021-11-30 10:16:00,08-57-国府津-快速,10.5,戸塚
217,639,大船,2021-11-30 01:25:00,2021-11-30 10:21:00,08-57-国府津-快速,11.0,大船
218,2422,大船,2021-11-30 01:26:00,2021-11-30 10:22:00,08-57-国府津-快速,11.5,大船
219,640,藤沢,2021-11-30 01:30:00,2021-11-30 10:26:00,08-57-国府津-快速,12.0,藤沢
220,641,辻堂,2021-11-30 01:33:00,2021-11-30 10:29:00,08-57-国府津-快速,13.0,辻堂
221,2423,辻堂,2021-11-30 01:34:00,2021-11-30 10:30:00,08-57-国府津-快速,13.5,辻堂
222,642,茅ケ崎,2021-11-30 01:37:00,2021-11-30 10:33:00,08-57-国府津-快速,14.0,茅ケ崎
223,643,平塚,2021-11-30 01:42:00,2021-11-30 10:38:00,08-57-国府津-快速,15.0,平塚
224,2424,平塚,2021-11-30 01:43:00,2021-11-30 10:39:00,08-57-国府津-快速,15.5,平塚
225,644,大磯,2021-11-30 01:46:00,2021-11-30 10:42:00,08-57-国府津-快速,16.0,大磯
226,645,二宮,2021-11-30 01:50:00,2021-11-30 10:46:00,08-57-国府津-快速,17.0,二宮
227,2425,二宮,2021-11-30 01:51:00,2021-11-30 10:47:00,08-57-国府津-快速,17.5,二宮
228,646,国府津,2021-11-30 01:56:00,,08-57-国府津-快速,18.0,国府津
229,1425,大宮(埼玉),2021-11-30 00:00:00,2021-11-30 09:23:00,09-24-小田原-快速,0.0,大宮(埼玉)
230,1426,浦和,2021-11-30 00:07:00,2021-11-30 09:30:00,09-24-小田原-快速,1.0,浦和
231,2849,浦和,2021-11-30 00:08:00,2021-11-30 09:31:00,09-24-小田原-快速,1.5,浦和
232,1427,赤羽,2021-11-30 00:16:00,2021-11-30 09:39:00,09-24-小田原-快速,2.0,赤羽
233,2850,赤羽,2021-11-30 00:17:00,2021-11-30 09:40:00,09-24-小田原-快速,2.5,赤羽
234,1428,池袋,2021-11-30 00:29:00,2021-11-30 09:52:00,09-24-小田原-快速,3.0,尾久/池袋
235,2851,池袋,2021-11-30 00:30:00,2021-11-30 09:53:00,09-24-小田原-快速,3.5,尾久/池袋
236,1429,新宿,2021-11-30 00:35:00,2021-11-30 09:58:00,09-24-小田原-快速,4.0,上野/新宿
237,2852,新宿,2021-11-30 00:37:00,2021-11-30 10:00:00,09-24-小田原-快速,4.5,上野/新宿
238,1430,渋谷,2021-11-30 00:41:00,2021-11-30 10:04:00,09-24-小田原-快速,5.0,東京/渋谷
239,2853,渋谷,2021-11-30 00:42:00,2021-11-30 10:05:00,09-24-小田原-快速,5.5,東京/渋谷
240,1431,恵比寿,2021-11-30 00:44:00,2021-11-30 10:07:00,09-24-小田原-快速,6.0,新橋/恵比寿
241,2854,恵比寿,2021-11-30 00:45:00,2021-11-30 10:08:00,09-24-小田原-快速,6.5,新橋/恵比寿
242,1432,大崎,2021-11-30 00:49:00,2021-11-30 10:12:00,09-24-小田原-快速,7.0,品川/大崎
243,1433,武蔵小杉,2021-11-30 00:57:00,2021-11-30 10:20:00,09-24-小田原-快速,8.0,川崎/武蔵小杉
244,2855,武蔵小杉,2021-11-30 00:58:00,2021-11-30 10:21:00,09-24-小田原-快速,8.5,川崎/武蔵小杉
245,1434,横浜,2021-11-30 01:08:00,2021-11-30 10:31:00,09-24-小田原-快速,9.0,横浜
